category,avg_person_g,avg_males_g,avg_females_g
Non-alcoholic beverages,1622.7,1663.1,1580.45
Tea,35.6,34.15,37.15
Coffee and coffee substitutes,13.45,10.15,17
100% Fruit and vegetable juices,86.05,87.95,84.1
Fruit and vegetable drinks,6.05,4.8,7.3500000000000005
Cordials,15.25,22.75,7.25
"Soft drinks, and flavoured mineral waters",105.35,112.7,97.3
"Electrolyte, energy and fortified drinks",13.700000000000001,19.599999999999998,7.6
"Waters, municipal and bottled",1311.75,1334.65,1288
Other beverage flavourings and prepared beverages,35.5,36.4,34.6
Cereals and cereal products,144.7,166.25,122.1
"Flours, rice and other cereal grains and starches",38,46.599999999999994,28.85
"Regular breads, and bread rolls",35.85,37.05,34.55
"English-style muffins, flat breads, and savoury and sweet breads",17.05,18.9,15.15
Pasta and pasta products,24.95,28.45,21.299999999999997
"Breakfast cereals, ready to eat",22.1,29.2,14.6
"Breakfast cereals, hot porridge style",6.749999999999998,6,7.550000000000001
Cereal based products and dishes,266.65,294.3,237.75
Sweet biscuits,12.95,14.85,11
Savoury biscuits,6.550000000000001,7.15,5.95
"Cakes, muffins, scones, cake-type desserts",15.45,15.600000000000001,15.3
Pastries,23.25,26.450000000000003,19.9
Mixed dishes where cereal is the major ingredient,199,218.10000000000002,178.89999999999998
Batter-based products,9.45,12.1,6.699999999999999
Fats and oils,2.9,3,2.8
Butters,1.7000000000000002,1.7999999999999998,1.5499999999999998
Dairy blends,0.1,0.05,0.15000000000000002
Margarine and table spreads,0.8,0.85,0.75
Plant oils,0.3,0.3,0.30000000000000004
Other fats,0,0,0
Unspecified fats,0,0,0
Fish and seafood products and dishes,14.85,21.200000000000003,8
Fin fish,2.65,2.75,2.55
Crustacea and molluscs,1.15,1.75,0.55
Other sea and freshwater foods,0.05,0.1,0
Packed  fish and seafood,1.9,2.3,1.5
Fish and seafood products,6.65,10.25,2.85
Mixed dishes with fish or seafood as the major component,2.4000000000000004,4.050000000000001,0.55
Wild caught fish and seafood,0,0,0
Fruit products and dishes,134.2,141.4,126.6
Wild harvested fruits,0,0,0
Pome fruit,52.3,58.400000000000006,45.85
Berry fruit,12.55,9.95,15.350000000000001
Citrus fruit,9.3,10.350000000000001,8.15
Stone fruit,4.15,4.699999999999999,3.6500000000000004
Tropical and subtropical fruit,24.200000000000003,26.35,21.9
Other fruit,28.15,27.9,28.4
