category,unit,section_heading,avg_person,avg_males,avg_females
Energy,kJ,NA,8432,9375,7438
Moisture,g,NA,2320.6,2448.4,2185.9
Protein,g,Macronutrients,84.05000000000001,95.35,72.15
Total fat,g,Macronutrients,75.25,83.35,66.7
Saturated fat,g,Macronutrients,29.85,33.099999999999994,26.55
Monounsaturated fat,g,Macronutrients,28.05,31.049999999999997,24.95
Polyunsaturated fat,g,Macronutrients,11,12.2,9.649999999999999
Linoleic acid,g,Macronutrients,9.2,10.2,8.2
Alpha-linolenic acid,g,Macronutrients,1.35,1.5499999999999998,1.2000000000000002
Long chain omega 3 fatty acids,mg,Macronutrients,159.6,199.45,117.45
Trans fatty acids,mg,Macronutrients,1189.35,1337.65,1033.15
Carbohydrate,g,Macronutrients,240.15,265.4,213.45
Total sugars,g,Macronutrients,95.1,104.35,85.3
Free sugars,g,Macronutrients,52.25,56.6,47.7
Added sugars,g,Macronutrients,44.900000000000006,48.849999999999994,40.7
Starch,g,Macronutrients,142.7,158.6,125.94999999999999
Dietary fibre,g,Macronutrients,21.05,23.35,18.6
Alcohol,g,Macronutrients,0.15,0.3,0
Preformed vitamin A,µg,Vitamins,268.5,297,237.5
Pro vitamin A,µg,Vitamins,2355.5,2522.5,2179
Vitamin A retinol equivalents,µg,Vitamins,660.5,717.5,600.5
Thiamin,mg,Vitamins,1.65,1.8,1.45
Riboflavin,mg,Vitamins,1.65,1.85,1.35
Niacin,mg,Vitamins,19.4,22,16.7
Niacin equivalents,mg,Vitamins,35.35,40.15,30.35
"Folate, natural",µg,Vitamins,253.5,276,230
Folic acid,µg,Vitamins,245,271,217
Total folates,µg,Vitamins,498.5,547,447
Folate equivalents,µg,Vitamins,662,728.5,592.5
Vitamin B6,mg,Vitamins,1.2,1.35,0.95
Vitamin B12,µg,Vitamins,3.3,3.85,2.7
Vitamin C,mg,Vitamins,89,90.5,87.5
Vitamin D3 equivalents,µg,Vitamins,4.45,5.15,3.7
Vitamin E,mg,Vitamins,9,9.8,8.15
Calcium,mg,Minerals,813.5,926.5,694.5
Iodine,µg,Minerals,180.89999999999998,198.2,162.65
Iron,mg,Minerals,10.35,11.95,8.65
Magnesium,mg,Minerals,305,339.5,268.5
Phosphorus,mg,Minerals,1327.5,1503.5,1142
Potassium,mg,Minerals,2613.5,2878.5,2333.5
Selenium,µg,Minerals,78.05,88.5,67.05
Sodium,mg,Minerals,2545.5,2838.5,2237
Zinc,mg,Minerals,9.349999999999998,10.600000000000001,8
Caffeine,mg,Other,27,27.5,26.5
Cholesterol,mg,Other,273.5,309,236.5
