category,2001,2004_05,2007_08,2011_12,2014_15,2017_18,2022,section_heading
No selected chronic conditions,NA,NA,11932.5,12746.4,12275.9,12705.3,12745.2,Number of selected chronic conditions
1,NA,NA,5297.5,5629.3,6206,6519.4,7119.1,Number of selected chronic conditions
2,NA,NA,2086.5,2280.9,2632.6,2772.8,3295.4,Number of selected chronic conditions
3 or more,NA,NA,1326.6,1455.3,1847.3,2102.7,2272.6,Number of selected chronic conditions
Has 1 or more selected chronic conditions,NA,NA,8710.7,9365.3,10690.5,11400.2,12687.8,Number of selected chronic conditions
Has 2 or more selected chronic conditions,NA,NA,3413.2,3737,4485.5,4875.5,5558.9,Number of selected chronic conditions
"Total persons, all ages",NA,NA,20643.1,22102,22969,24105.3,25428.9,Number of selected chronic conditions
Arthritis,2576.9,3020.1,3135.1,3265.4,3517.4,3625.2,3682.8,Selected current long-term conditions
Asthma,2197.3,2013.5,2049.7,2254.6,2485.3,2705.1,2754.1,Selected current long-term conditions
Back problems ,3966,3277,3070.3,3003.8,3729.8,3950.5,3984.5,Selected current long-term conditions
Cancer ,261.3,337.8,326.6,326.6,370.1,432.4,456.2,Selected current long-term conditions
Chronic obstructive pulmonary disease ,664.5,591.1,490,529.1,600.3,598.8,638.1,Selected current long-term conditions
Diabetes mellitus,624.5,NA,898.8,986.9,1178.4,1182.6,1348.4,Selected current long-term conditions
Hayfever and allergic rhinitis,2935.3,3165.7,3107.2,3701.8,4460.4,4663,6085.3,Selected current long-term conditions
"Heart, stroke and vascular disease",782.2,754.7,1100.1,1049.8,1196.6,1156.5,1323.4,Selected current long-term conditions
Hypertension,1909.1,2100.7,1945.8,2262,2593.9,2551.8,2959.9,Selected current long-term conditions
Kidney disease,30.3,26.9,15.4,181.9,203.4,237.8,246.2,Selected current long-term conditions
Mental and behavioural conditions,1812.6,2109.5,2309.8,2996.2,4017.4,4842.1,6632.7,Selected current long-term conditions
Osteoporosis,299.8,585.8,692.3,725.5,801.8,924,853.6,Selected current long-term conditions
