category,2001,2004_05,2007_08,2011_12,2014_15,2017_18,2022,section_heading,section_subheading
Certain infectious and parasitic diseases,6.7,0,14,7.7,7.6,4.9,22.8,NA,NA
Skin cancer,0,0,0,0,1.8,16.6,36.2,Neoplasms,Cancer
Other and site unknown cancer,0,0,2.8,10.8,8.8,41.2,74.5,Neoplasms,Cancer
Total cancer,0,0,2.8,14.7,11,60.8,109.2,Neoplasms,Cancer
Benign neoplasms and neoplasms of uncertain nature,0,0,0,10.4,20.9,11.6,24.6,Neoplasms,NA
Total neoplasms,5.5,0,6.4,26.6,31.2,69.3,132.1,Neoplasms,NA
Anaemias,8.699999999999998,72.4,71.1,128.9,59.9,79.59999999999998,54.5,Diseases of the blood and blood forming organs,NA
Other diseases of the blood and blood forming organs,2.4,0,0,15.4,3.9,15.7,18,Diseases of the blood and blood forming organs,NA
Total diseases of the blood and blood forming organs,13.6,74.9,80,142.5,64.2,97,68.6,Diseases of the blood and blood forming organs,NA
Disorders of thyroid gland,0,41.5,70.2,139,160.8,232.1,317.5,"Endocrine, nutritional and metabolic diseases",NA
Type 1,4,0,0,4.3,10.9,18.6,27.1,"Endocrine, nutritional and metabolic diseases",Diabetes mellitus
Type 2,0,0,18,24.1,81,130.5,266.1,"Endocrine, nutritional and metabolic diseases",Diabetes mellitus
Total diabetes mellitus,4,4.9,31.3,38.7,85.1,160.3,296.4,"Endocrine, nutritional and metabolic diseases",Diabetes mellitus
High sugar levels in blood / urine,0,4,1.1,14.1,13.1,12.1,18.5,"Endocrine, nutritional and metabolic diseases",NA
High cholesterol,4,10.1,17.1,49.8,132.2,262.1,599.5,"Endocrine, nutritional and metabolic diseases",NA
"Other endocrine, nutritional and metabolic diseases",5.3,110.7,153.3,169.7,68.7,31.9,25.9,"Endocrine, nutritional and metabolic diseases",NA
"Total endocrine, nutritional and metabolic diseases",21,156.1,227.7,344.3,369.1,534.2,992.2,"Endocrine, nutritional and metabolic diseases",NA
Harmful alcohol and other drug use,0,7.3,8.199999999999998,17,12.2,7.6,8.3,Mental and behavioural conditions,NA
Depression / feeling depressed,29.6,329.3,283,284.3,294.1,232.1,362.3,Mental and behavioural conditions,Mood  disorders
Other mood  disorders,5.4,17,21.4,31.7,16.1,30.9,15.8,Mental and behavioural conditions,Mood  disorders
Total mood  disorders,34.5,337.6,294.3,311.4,294.4,246.1,374.1,Mental and behavioural conditions,Mood  disorders
"Anxiety disorders / feeling anxious, nervous or tense",172.6,522.4,522.7,431.3,350.9,273.6,351.9,Anxiety related disorders,NA
Panic disorders / panic attacks,36,167.2,124.1,106.6,99.6,70.6,79.5,Anxiety related disorders,NA
Phobic anxiety disorders,28.4,109.2,43,34.2,49.2,58.8,33.7,Anxiety related disorders,NA
Obsessive-compulsive disorder,3.9,78.4,44.8,65.3,21.1,26.1,27.5,Anxiety related disorders,NA
Post-traumatic stress disorder,18.7,77.8,76.4,97.8,56.6,71.3,24,Anxiety related disorders,NA
Total anxiety related disorders,188.1,562.9,558.3,470.9,392.7,313.9,395.9,Anxiety related disorders,NA
Problems of psychological development,105.4,121.5,47.6,95.9,27.7,22.3,39.8,Anxiety related disorders,NA
"Behavioural, cognitive & emotional problems with usual onset in childhood / adolescence",104.5,100.8,80.2,63.4,21.1,21.5,24.1,Anxiety related disorders,NA
