category,2001,2004_05,2007_08,2011_12,2014_15,2017_18,2022,section_heading,section_subheading
Certain infectious and parasitic diseases,8.199999999999998,0,22.5,6.9,16.2,21.7,37.1,NA,NA
Skin cancer,0,0,0.7,5.6,4.3,41.8,109.2,Neoplasms,Cancer
Other and site unknown cancer,3,1.5,12.2,13.1,14.9,74.3,202.3,Neoplasms,Cancer
Total cancer,3,1.5,10.4,16.8,15.7,116.8,282.4,Neoplasms,Cancer
Benign neoplasms and neoplasms of uncertain nature,3.3,0,4.8,22.7,20.9,21.1,45.2,Neoplasms,NA
Total neoplasms,6.3,1.8,20.7,39.8,39.7,135.2,327.3,Neoplasms,NA
Anaemias,24.6,83.9,76.4,132.5,62.9,81.9,77.2,Diseases of the blood and blood forming organs,NA
Other diseases of the blood and blood forming organs,5.3,11.7,6.4,24.4,3.8,21,23.3,Diseases of the blood and blood forming organs,NA
Total diseases of the blood and blood forming organs,30.1,91.8,88.3,152.7,70.9,112.1,98.5,Diseases of the blood and blood forming organs,NA
Disorders of thyroid gland,5,40.6,95.9,169.7,195.6,261.5,374.2,"Endocrine, nutritional and metabolic diseases",NA
Type 1,4,15.3,3.2,11.3,24.6,38.9,38.1,"Endocrine, nutritional and metabolic diseases",Diabetes mellitus
Type 2,0,5,35.8,78.59999999999998,167.7,288.8,608.6,"Endocrine, nutritional and metabolic diseases",Diabetes mellitus
Total diabetes mellitus,4,15.9,48.6,91.8,192.4,330.5,662.2,"Endocrine, nutritional and metabolic diseases",Diabetes mellitus
High sugar levels in blood / urine,0,4,8.5,21.9,27.1,20.4,34.3,"Endocrine, nutritional and metabolic diseases",NA
High cholesterol,4,8.4,46.2,119.2,284.8,564.4,1096.1,"Endocrine, nutritional and metabolic diseases",NA
"Other endocrine, nutritional and metabolic diseases",16.7,133.7,159.5,184.1,76,51.5,37.8,"Endocrine, nutritional and metabolic diseases",NA
"Total endocrine, nutritional and metabolic diseases",31.3,180.8,304.3,505.7,645.1,980.2,1770.9,"Endocrine, nutritional and metabolic diseases",NA
Harmful alcohol and other drug use,0,18.8,23.8,43,51,29.9,31.9,Mental and behavioural conditions,NA
Depression / feeling depressed,90.9,508.6,535.4,473.8,533.5,442.6,572.9,Mental and behavioural conditions,Mood  disorders
Other mood  disorders,4.3,32.8,40.7,52.8,42.9,59.7,27.1,Mental and behavioural conditions,Mood  disorders
Total mood  disorders,86.1,508.2,541.7,508.8,547.2,465.1,588.8,Mental and behavioural conditions,Mood  disorders
"Anxiety disorders / feeling anxious, nervous or tense",384.2,798.1,846.6,657,618.3,482.5,560.4,Anxiety related disorders,NA
Panic disorders / panic attacks,56.2,206.4,189.2,150.5,163.5,119.9,99.5,Anxiety related disorders,NA
Phobic anxiety disorders,68.3,141.6,116.3,65.1,92.8,95.4,59.1,Anxiety related disorders,NA
Obsessive-compulsive disorder,33.1,99.7,100.1,73.2,72.9,60.5,40.7,Anxiety related disorders,NA
Post-traumatic stress disorder,23.5,102.5,110.2,120.3,106.6,143.9,68.1,Anxiety related disorders,NA
Total anxiety related disorders,404.9,864.1,900.6,726.6,716,563.4,633.3,Anxiety related disorders,NA
Problems of psychological development,327.2,288.6,184.5,155.5,108.1,95.4,89.2,Anxiety related disorders,NA
"Behavioural, cognitive & emotional problems with usual onset in childhood / adolescence",284.5,292.8,209,114.8,88.2,47,48.8,Anxiety related disorders,NA
Other mental and behavioural conditions,45.7,61.3,68.3,67.9,61,56.5,117.7,Anxiety related disorders,NA
Total mental and behavioural conditions,693.9,1120.3,1138,964.7,927.2,777.1,1001.6,Anxiety related disorders,NA
Epilepsy,9.2,2.1,5.9,3.6,20.4,12.8,2.3,Diseases of the nervous system,NA
