category,section_heading,persons_5_17,males_5_17,females_5_17
Did not meet recommendation,Daily consumption of fruit,1202.6,687.3000000000001,522.9000000000001
Met recommendation,Daily consumption of fruit,2683.8,1320.2,1377.2
Total,Daily consumption of fruit,3900.9000000000005,1998.1000000000001,1894.8999999999999
Did not meet recommendation,Daily consumption of fruit and vegetables,3727.7,1935.8000000000002,1787.6
Met recommendation,Daily consumption of fruit and vegetables,171.10000000000002,58.8,110.6
Total,Daily consumption of fruit and vegetables,3900.9000000000005,1998.1000000000001,1894.8999999999999
Did not meet recommendation,Daily consumption of vegetables,3709.2999999999997,1939.6999999999998,1783.1
Met recommendation,Daily consumption of vegetables,185,65.3,117.20000000000002
Total,Daily consumption of vegetables,3900.9000000000005,1998.1000000000001,1894.8999999999999
1 serve,Usual daily consumption of fruit,904.6,499,411.09999999999997
2 serves,Usual daily consumption of fruit,1359,675.8,684.1999999999999
3 serves,Usual daily consumption of fruit,855.0999999999999,414.9,438.69999999999993
4 serves,Usual daily consumption of fruit,289.5,139.89999999999998,151.7
5 or more serves,Usual daily consumption of fruit,185.89999999999998,88.6,107
Does not eat fruit,Usual daily consumption of fruit,104.1,69.3,35.7
Less than 1 serve,Usual daily consumption of fruit,190.9,117.2,86.2
Total,Usual daily consumption of fruit,3900.9000000000005,1998.1000000000001,1894.8999999999999
1 serve,Usual daily consumption of vegetables,1150.8,629.3,514.6999999999999
2 serves,Usual daily consumption of vegetables,1149.3999999999999,545.3,604
3 serves,Usual daily consumption of vegetables,682.6999999999999,343.29999999999995,339.29999999999995
4 serves,Usual daily consumption of vegetables,290.2,124.5,159.9
5 or more serves,Usual daily consumption of vegetables,212,99.9,120
Average number of serves of fruit,Usual daily consumption of vegetables,-0.19999999999999973,-0.2999999999999998,-0.09999999999999964
Average number of serves of vegetables,Usual daily consumption of vegetables,0.30000000000000004,0.19999999999999996,0.3999999999999999
Does not eat vegetables,Usual daily consumption of vegetables,70.5,43.7,20.6
Less than 1 serve,Usual daily consumption of vegetables,350.3,206.8,152.6
Total,Usual daily consumption of vegetables,3900.9000000000005,1998.1000000000001,1894.8999999999999
